2025-11-30 13:02:00,414 | INFO | root | ===== Run Started =====
2025-11-30 13:02:00,414 | INFO | root | RUN_ID: 20251130T073200Z
2025-11-30 13:02:00,414 | INFO | root | User Query: Analyze ROAS drop
2025-11-30 13:02:00,429 | INFO | root | Config file loaded successfully.
2025-11-30 13:02:00,429 | INFO | root | Resolved data path: data/synthetic_fb_ads_undergarments.csv
2025-11-30 13:02:00,429 | INFO | root | PlannerAgent completed. Saved planner.json
2025-11-30 13:02:00,429 | INFO | root | Reading dataset: data/synthetic_fb_ads_undergarments.csv
2025-11-30 13:02:00,445 | INFO | root | Running dataset validation...
2025-11-30 13:02:00,445 | INFO | root | ✔ All required columns are present.
2025-11-30 13:02:00,445 | WARNING | root | ⚠ Column 'spend' contains 113 null values.
2025-11-30 13:02:00,445 | WARNING | root | ⚠ Column 'clicks' contains 152 null values.
2025-11-30 13:02:00,445 | WARNING | root | ⚠ Column 'revenue' contains 133 null values.
2025-11-30 13:02:00,445 | WARNING | root | ⚠ Column 'roas' contains 9 null values.
2025-11-30 13:02:00,454 | WARNING | root | ⚠ Column 'clicks' has 152 non-numeric/NA values after coercion.
2025-11-30 13:02:00,454 | WARNING | root | ⚠ Column 'spend' has 113 non-numeric/NA values after coercion.
2025-11-30 13:02:00,454 | WARNING | root | ⚠ Column 'revenue' has 133 non-numeric/NA values after coercion.
2025-11-30 13:02:00,456 | INFO | root | ✔ Type checks completed.
2025-11-30 13:02:00,457 | INFO | root | Normalizing campaign names and mapping to canonical buckets...
2025-11-30 13:02:00,508 | INFO | root | Normalized campaign mapping written → logs\20251130T073200Z\campaigns_normalized.csv
2025-11-30 13:02:00,508 | INFO | root | ✔ Data summary created.
2025-11-30 13:02:00,509 | INFO | root | Data summary saved.
2025-11-30 13:02:00,509 | INFO | root | Generating hypotheses for campaigns...
2025-11-30 13:02:00,509 | INFO | root | ✔ Hypotheses generated.
2025-11-30 13:02:00,509 | INFO | root | Hypotheses saved.
2025-11-30 13:02:00,555 | INFO | root | Validating hypotheses...
2025-11-30 13:02:00,555 | INFO | root | ✔ Validation complete.
2025-11-30 13:02:00,555 | INFO | root | Insights saved.
2025-11-30 13:02:00,555 | INFO | root | Generating creatives...
2025-11-30 13:02:00,555 | INFO | root | ✔ Creatives generated.
2025-11-30 13:02:00,555 | INFO | root | Creatives saved.
2025-11-30 13:02:00,555 | INFO | root | Final Report generated → reports/report.md
2025-11-30 13:02:00,555 | INFO | root | Metrics saved → logs\20251130T073200Z\metrics.json
2025-11-30 13:02:00,555 | INFO | root | ===== Run Completed Successfully =====
